source_file,source_url,source_pillar,anchor,relation,target_url,score,target_kd,target_volume
2025-09-14_1--low-doc-business-finance.md,/resources/guides/low-doc-business-finance,Commercial Property Loans,commercial property calculator,same-pillar,/resources/tools/commercial-property-calculator,4.711,17.0,90.0
2025-09-14_1--low-doc-business-finance.md,/resources/guides/low-doc-business-finance,Commercial Property Loans,low doc commercial loans,cross-pillar,/resources/guides/low-doc-commercial-loans,3.262,6.0,170.0
2025-09-14_2--commercial-bridging-loan.md,/resources/guides/commercial-bridging-loan,Bridging Finance (Commercial),Bridging Finance (Commercial) guide,pillar,/pillars/bridging-finance-commercial,999.0,,
2025-09-14_2--commercial-bridging-loan.md,/resources/guides/commercial-bridging-loan,Bridging Finance (Commercial),bridging loan guide,same-pillar,/resources/guides/bridging-loan,5.525,2.0,50.0
2025-09-14_2--commercial-bridging-loan.md,/resources/guides/commercial-bridging-loan,Bridging Finance (Commercial),commercial bridge loan,same-pillar,/resources/guides/commercial-bridge-loan,5.115,4.0,40.0
2025-09-14_2--commercial-bridging-loan.md,/resources/guides/commercial-bridging-loan,Bridging Finance (Commercial),bridging loan construction,same-pillar,/resources/guides/bridging-loan-construction,5.003,13.0,40.0
2025-09-14_2--commercial-bridging-loan.md,/resources/guides/commercial-bridging-loan,Bridging Finance (Commercial),commercial construction loan,cross-pillar,/resources/guides/commercial-construction-loan,1.478,5.0,40.0
2025-09-15_1--second-mortgage-for-poor-credit.md,/resources/guides/second-mortgage-for-poor-credit,Second Mortgages (Business/Investment),Second Mortgages (Business/Investment) guide,pillar,/pillars/second-mortgages-businessinvestment,999.0,,
2025-09-15_1--second-mortgage-for-poor-credit.md,/resources/guides/second-mortgage-for-poor-credit,Second Mortgages (Business/Investment),second mortgage australia,same-pillar,/resources/guides/second-mortgage-australia,5.758,2.0,140.0
2025-09-15_1--second-mortgage-for-poor-credit.md,/resources/guides/second-mortgage-for-poor-credit,Second Mortgages (Business/Investment),second mortgage lenders australia,same-pillar,/resources/guides/second-mortgage-lenders-australia,5.37,6.0,70.0
2025-09-15_1--second-mortgage-for-poor-credit.md,/resources/guides/second-mortgage-for-poor-credit,Second Mortgages (Business/Investment),mortgage rates for second mortgage,same-pillar,/resources/tools/mortgage-rates-for-second-mortgage,5.303,9.0,40.0
2025-09-15_1--second-mortgage-for-poor-credit.md,/resources/guides/second-mortgage-for-poor-credit,Second Mortgages (Business/Investment),bad credit business loans australia,cross-pillar,/resources/guides/bad-credit-business-loans-australia,2.208,16.0,90.0
2025-09-15_2--loan-for-commercial-property-calculator.md,/resources/tools/loan-for-commercial-property-calculator,Commercial Property Loans,Commercial Property Loans guide,pillar,/pillars/commercial-property-loans,999.0,,
2025-09-15_2--loan-for-commercial-property-calculator.md,/resources/tools/loan-for-commercial-property-calculator,Commercial Property Loans,loan calculator commercial loan,same-pillar,/resources/tools/loan-calculator-commercial-loan,6.388,13.0,50.0
2025-09-15_2--loan-for-commercial-property-calculator.md,/resources/tools/loan-for-commercial-property-calculator,Commercial Property Loans,commercial property loan repayment calculator,same-pillar,/resources/tools/commercial-property-loan-repayment-calculator,5.979,13.0,70.0
2025-09-15_2--loan-for-commercial-property-calculator.md,/resources/tools/loan-for-commercial-property-calculator,Commercial Property Loans,commercial property calculator,same-pillar,/resources/tools/commercial-property-calculator,5.877,17.0,90.0
2025-09-15_2--loan-for-commercial-property-calculator.md,/resources/tools/loan-for-commercial-property-calculator,Commercial Property Loans,loan for construction of commercial property,cross-pillar,/resources/guides/loan-for-construction-of-commercial-property,2.978,9.0,90.0
2025-09-16_1--bridging-finance-for-property-development.md,/resources/guides/bridging-finance-for-property-development,Bridging Finance (Commercial),Bridging Finance (Commercial) guide,pillar,/pillars/bridging-finance-commercial,999.0,,
2025-09-16_1--bridging-finance-for-property-development.md,/resources/guides/bridging-finance-for-property-development,Bridging Finance (Commercial),bridging loan for property development,same-pillar,/resources/guides/bridging-loan-for-property-development,5.182,2.0,40.0
2025-09-16_1--bridging-finance-for-property-development.md,/resources/guides/bridging-finance-for-property-development,Bridging Finance (Commercial),commercial bridging finance,same-pillar,/resources/guides/commercial-bridging-finance,4.662,11.0,50.0
2025-09-16_1--bridging-finance-for-property-development.md,/resources/guides/bridging-finance-for-property-development,Bridging Finance (Commercial),short term property finance,same-pillar,/resources/guides/short-term-property-finance,4.657,1.0,70.0
2025-09-16_1--bridging-finance-for-property-development.md,/resources/guides/bridging-finance-for-property-development,Bridging Finance (Commercial),property development finance,cross-pillar,/resources/guides/property-development-finance,1.535,6.0,210.0
2025-09-16_2--mortgage-rates-for-second-mortgage.md,/resources/tools/mortgage-rates-for-second-mortgage,Second Mortgages (Business/Investment),Second Mortgages (Business/Investment) guide,pillar,/pillars/second-mortgages-businessinvestment,999.0,,
2025-09-16_2--mortgage-rates-for-second-mortgage.md,/resources/tools/mortgage-rates-for-second-mortgage,Second Mortgages (Business/Investment),second mortgage rates,same-pillar,/resources/tools/second-mortgage-rates,6.365,14.0,40.0
2025-09-16_2--mortgage-rates-for-second-mortgage.md,/resources/tools/mortgage-rates-for-second-mortgage,Second Mortgages (Business/Investment),second mortgage australia,same-pillar,/resources/guides/second-mortgage-australia,6.115,2.0,140.0
2025-09-16_2--mortgage-rates-for-second-mortgage.md,/resources/tools/mortgage-rates-for-second-mortgage,Second Mortgages (Business/Investment),2nd mortgage rates,same-pillar,/resources/tools/2nd-mortgage-rates,5.936,14.0,40.0
2025-09-16_2--mortgage-rates-for-second-mortgage.md,/resources/tools/mortgage-rates-for-second-mortgage,Second Mortgages (Business/Investment),urgent caveat loans,cross-pillar,/resources/guides/urgent-caveat-loans,2.24,0.0,140.0
2025-09-17_1--commercial-real-estate-loans-calculator.md,/resources/tools/commercial-real-estate-loans-calculator,Commercial Property Loans,Commercial Property Loans guide,pillar,/pillars/commercial-property-loans,999.0,,
2025-09-17_1--commercial-real-estate-loans-calculator.md,/resources/tools/commercial-real-estate-loans-calculator,Commercial Property Loans,commercial property calculator,same-pillar,/resources/tools/commercial-property-calculator,5.252,17.0,90.0
2025-09-17_1--commercial-real-estate-loans-calculator.md,/resources/tools/commercial-real-estate-loans-calculator,Commercial Property Loans,commercial lending calculator,same-pillar,/resources/tools/commercial-lending-calculator,5.232,17.0,70.0
2025-09-17_1--commercial-real-estate-loans-calculator.md,/resources/tools/commercial-real-estate-loans-calculator,Commercial Property Loans,loan for commercial property calculator,same-pillar,/resources/tools/loan-for-commercial-property-calculator,5.069,11.0,40.0
2025-09-17_1--commercial-real-estate-loans-calculator.md,/resources/tools/commercial-real-estate-loans-calculator,Commercial Property Loans,commercial real estate investment property loans,cross-pillar,/resources/guides/commercial-real-estate-investment-property-loans,3.185,18.0,110.0
2025-09-17_2--commercial-bridging-finance-lenders.md,/resources/guides/commercial-bridging-finance-lenders,Bridging Finance (Commercial),Bridging Finance (Commercial) guide,pillar,/pillars/bridging-finance-commercial,999.0,,
2025-09-17_2--commercial-bridging-finance-lenders.md,/resources/guides/commercial-bridging-finance-lenders,Bridging Finance (Commercial),commercial bridging finance,same-pillar,/resources/guides/commercial-bridging-finance,4.984,11.0,50.0
2025-09-17_2--commercial-bridging-finance-lenders.md,/resources/guides/commercial-bridging-finance-lenders,Bridging Finance (Commercial),bridging loan guide,same-pillar,/resources/guides/bridging-loan,4.775,2.0,50.0
2025-09-17_2--commercial-bridging-finance-lenders.md,/resources/guides/commercial-bridging-finance-lenders,Bridging Finance (Commercial),commercial bridging loan,same-pillar,/resources/guides/commercial-bridging-loan,4.763,3.0,50.0
2025-09-17_2--commercial-bridging-finance-lenders.md,/resources/guides/commercial-bridging-finance-lenders,Bridging Finance (Commercial),commercial construction lenders,cross-pillar,/resources/guides/commercial-construction-lenders,1.552,3.0,90.0
2025-09-18_1--2nd-mortgage-loan.md,/resources/guides/2nd-mortgage-loan,Second Mortgages (Business/Investment),Second Mortgages (Business/Investment) guide,pillar,/pillars/second-mortgages-businessinvestment,999.0,,
2025-09-18_1--2nd-mortgage-loan.md,/resources/guides/2nd-mortgage-loan,Second Mortgages (Business/Investment),2nd mortgage loan rates,same-pillar,/resources/tools/2nd-mortgage-loan-rates,6.015,12.0,40.0
2025-09-18_1--2nd-mortgage-loan.md,/resources/guides/2nd-mortgage-loan,Second Mortgages (Business/Investment),2nd mortgage australia,same-pillar,/resources/guides/2nd-mortgage-australia,5.999,13.0,90.0
2025-09-18_1--2nd-mortgage-loan.md,/resources/guides/2nd-mortgage-loan,Second Mortgages (Business/Investment),second mortgage australia,same-pillar,/resources/guides/second-mortgage-australia,5.758,2.0,140.0
2025-09-18_1--2nd-mortgage-loan.md,/resources/guides/2nd-mortgage-loan,Second Mortgages (Business/Investment),urgent caveat loan,cross-pillar,/resources/guides/urgent-caveat-loan,2.376,1.0,70.0
2025-09-18_2--commercial-property-loan-repayment-calculator.md,/resources/tools/commercial-property-loan-repayment-calculator,Commercial Property Loans,Commercial Property Loans guide,pillar,/pillars/commercial-property-loans,999.0,,
2025-09-18_2--commercial-property-loan-repayment-calculator.md,/resources/tools/commercial-property-loan-repayment-calculator,Commercial Property Loans,loan for commercial property calculator,same-pillar,/resources/tools/loan-for-commercial-property-calculator,5.974,11.0,40.0
2025-09-18_2--commercial-property-loan-repayment-calculator.md,/resources/tools/commercial-property-loan-repayment-calculator,Commercial Property Loans,loan calculator commercial loan,same-pillar,/resources/tools/loan-calculator-commercial-loan,5.959,13.0,50.0
2025-09-18_2--commercial-property-loan-repayment-calculator.md,/resources/tools/commercial-property-loan-repayment-calculator,Commercial Property Loans,repayment calculator commercial property,same-pillar,/resources/tools/repayment-calculator-commercial-property,5.949,13.0,40.0
2025-09-18_2--commercial-property-loan-repayment-calculator.md,/resources/tools/commercial-property-loan-repayment-calculator,Commercial Property Loans,loan for construction of commercial property,cross-pillar,/resources/guides/loan-for-construction-of-commercial-property,2.811,9.0,90.0
2025-09-19_1--commercial-bridge-loan.md,/resources/guides/commercial-bridge-loan,Bridging Finance (Commercial),Bridging Finance (Commercial) guide,pillar,/pillars/bridging-finance-commercial,999.0,,
2025-09-19_1--commercial-bridge-loan.md,/resources/guides/commercial-bridge-loan,Bridging Finance (Commercial),bridging loan guide,same-pillar,/resources/guides/bridging-loan,5.15,2.0,50.0
2025-09-19_1--commercial-bridge-loan.md,/resources/guides/commercial-bridge-loan,Bridging Finance (Commercial),commercial bridging loan,same-pillar,/resources/guides/commercial-bridging-loan,5.138,3.0,50.0
2025-09-19_1--commercial-bridge-loan.md,/resources/guides/commercial-bridge-loan,Bridging Finance (Commercial),bridge loan interest rates,same-pillar,/resources/tools/bridge-loan-interest-rates,4.763,15.0,50.0
2025-09-19_1--commercial-bridge-loan.md,/resources/guides/commercial-bridge-loan,Bridging Finance (Commercial),commercial construction loan,cross-pillar,/resources/guides/commercial-construction-loan,1.377,5.0,40.0
2025-09-19_2--2nd-mortgage-lenders.md,/resources/guides/2nd-mortgage-lenders,Second Mortgages (Business/Investment),Second Mortgages (Business/Investment) guide,pillar,/pillars/second-mortgages-businessinvestment,999.0,,
2025-09-19_2--2nd-mortgage-lenders.md,/resources/guides/2nd-mortgage-lenders,Second Mortgages (Business/Investment),second mortgage lenders australia,same-pillar,/resources/guides/second-mortgage-lenders-australia,6.066,6.0,70.0
2025-09-19_2--2nd-mortgage-lenders.md,/resources/guides/2nd-mortgage-lenders,Second Mortgages (Business/Investment),2nd mortgage australia,same-pillar,/resources/guides/2nd-mortgage-australia,5.999,13.0,90.0
2025-09-19_2--2nd-mortgage-lenders.md,/resources/guides/2nd-mortgage-lenders,Second Mortgages (Business/Investment),second mortgage lenders,same-pillar,/resources/guides/second-mortgage-lenders,5.929,17.0,70.0
2025-09-19_2--2nd-mortgage-lenders.md,/resources/guides/2nd-mortgage-lenders,Second Mortgages (Business/Investment),alternative business lenders,cross-pillar,/resources/guides/alternative-business-lenders,2.265,14.0,40.0
2025-09-20_1--loan-calculator-commercial-loan.md,/resources/tools/loan-calculator-commercial-loan,Commercial Property Loans,Commercial Property Loans guide,pillar,/pillars/commercial-property-loans,999.0,,
2025-09-20_1--loan-calculator-commercial-loan.md,/resources/tools/loan-calculator-commercial-loan,Commercial Property Loans,loan for commercial property calculator,same-pillar,/resources/tools/loan-for-commercial-property-calculator,6.402,11.0,40.0
2025-09-20_1--loan-calculator-commercial-loan.md,/resources/tools/loan-calculator-commercial-loan,Commercial Property Loans,commercial property loan repayment calculator,same-pillar,/resources/tools/commercial-property-loan-repayment-calculator,5.979,13.0,70.0
2025-09-20_1--loan-calculator-commercial-loan.md,/resources/tools/loan-calculator-commercial-loan,Commercial Property Loans,commercial property calculator,same-pillar,/resources/tools/commercial-property-calculator,5.877,17.0,90.0
2025-09-20_1--loan-calculator-commercial-loan.md,/resources/tools/loan-calculator-commercial-loan,Commercial Property Loans,loan for construction of commercial property,cross-pillar,/resources/guides/loan-for-construction-of-commercial-property,2.978,9.0,90.0
2025-09-20_2--short-term-property-loan.md,/resources/guides/short-term-property-loan,Bridging Finance (Commercial),Bridging Finance (Commercial) guide,pillar,/pillars/bridging-finance-commercial,999.0,,
2025-09-20_2--short-term-property-loan.md,/resources/guides/short-term-property-loan,Bridging Finance (Commercial),short term property finance,same-pillar,/resources/guides/short-term-property-finance,5.258,1.0,70.0
2025-09-20_2--short-term-property-loan.md,/resources/guides/short-term-property-loan,Bridging Finance (Commercial),short term property loans,same-pillar,/resources/guides/short-term-property-loans,5.115,8.0,260.0
2025-09-20_2--short-term-property-loan.md,/resources/guides/short-term-property-loan,Bridging Finance (Commercial),short term property funding,same-pillar,/resources/guides/short-term-property-funding,4.95,6.0,70.0
2025-09-20_2--short-term-property-loan.md,/resources/guides/short-term-property-loan,Bridging Finance (Commercial),loan for construction of commercial property,cross-pillar,/resources/guides/loan-for-construction-of-commercial-property,1.478,9.0,90.0
2025-09-21_1--2nd-mortgage-loan-rates.md,/resources/tools/2nd-mortgage-loan-rates,Second Mortgages (Business/Investment),Second Mortgages (Business/Investment) guide,pillar,/pillars/second-mortgages-businessinvestment,999.0,,
2025-09-21_1--2nd-mortgage-loan-rates.md,/resources/tools/2nd-mortgage-loan-rates,Second Mortgages (Business/Investment),2nd mortgage loan,same-pillar,/resources/guides/2nd-mortgage-loan,6.053,9.0,40.0
2025-09-21_1--2nd-mortgage-loan-rates.md,/resources/tools/2nd-mortgage-loan-rates,Second Mortgages (Business/Investment),2nd mortgage rates,same-pillar,/resources/tools/2nd-mortgage-rates,5.99,14.0,40.0
2025-09-21_1--2nd-mortgage-loan-rates.md,/resources/tools/2nd-mortgage-loan-rates,Second Mortgages (Business/Investment),second mortgage loan rates,same-pillar,/resources/tools/second-mortgage-loan-rates,5.978,15.0,40.0
2025-09-21_1--2nd-mortgage-loan-rates.md,/resources/tools/2nd-mortgage-loan-rates,Second Mortgages (Business/Investment),urgent caveat loan,cross-pillar,/resources/guides/urgent-caveat-loan,2.307,1.0,70.0
2025-09-21_2--repayment-calculator-commercial-property.md,/resources/tools/repayment-calculator-commercial-property,Commercial Property Loans,Commercial Property Loans guide,pillar,/pillars/commercial-property-loans,999.0,,
2025-09-21_2--repayment-calculator-commercial-property.md,/resources/tools/repayment-calculator-commercial-property,Commercial Property Loans,commercial property loan repayment calculator,same-pillar,/resources/tools/commercial-property-loan-repayment-calculator,5.979,13.0,70.0
2025-09-21_2--repayment-calculator-commercial-property.md,/resources/tools/repayment-calculator-commercial-property,Commercial Property Loans,commercial property calculator,same-pillar,/resources/tools/commercial-property-calculator,5.877,17.0,90.0
2025-09-21_2--repayment-calculator-commercial-property.md,/resources/tools/repayment-calculator-commercial-property,Commercial Property Loans,commercial lending calculator,same-pillar,/resources/tools/commercial-lending-calculator,5.857,17.0,70.0
2025-09-21_2--repayment-calculator-commercial-property.md,/resources/tools/repayment-calculator-commercial-property,Commercial Property Loans,deposit for commercial property,cross-pillar,/resources/guides/deposit-for-commercial-property,2.665,0.0,40.0
2025-09-22_1--construction-bridge-loans.md,/resources/guides/construction-bridge-loans,Bridging Finance (Commercial),Bridging Finance (Commercial) guide,pillar,/pillars/bridging-finance-commercial,999.0,,
2025-09-22_1--construction-bridge-loans.md,/resources/guides/construction-bridge-loans,Bridging Finance (Commercial),commercial bridge loan,same-pillar,/resources/guides/commercial-bridge-loan,4.59,4.0,40.0
2025-09-22_1--construction-bridge-loans.md,/resources/guides/construction-bridge-loans,Bridging Finance (Commercial),bridging loan construction,same-pillar,/resources/guides/bridging-loan-construction,4.478,13.0,40.0
2025-09-22_1--construction-bridge-loans.md,/resources/guides/construction-bridge-loans,Bridging Finance (Commercial),fast bridging loans,same-pillar,/resources/guides/fast-bridging-loans,4.457,17.0,70.0
2025-09-22_1--construction-bridge-loans.md,/resources/guides/construction-bridge-loans,Bridging Finance (Commercial),commercial construction loans,cross-pillar,/resources/guides/commercial-construction-loans,1.67,8.0,70.0
2025-09-22_2--2nd-mortgage-australia.md,/resources/guides/2nd-mortgage-australia,Second Mortgages (Business/Investment),Second Mortgages (Business/Investment) guide,pillar,/pillars/second-mortgages-businessinvestment,999.0,,
2025-09-22_2--2nd-mortgage-australia.md,/resources/guides/2nd-mortgage-australia,Second Mortgages (Business/Investment),second mortgage australia,same-pillar,/resources/guides/second-mortgage-australia,6.115,2.0,140.0
2025-09-22_2--2nd-mortgage-australia.md,/resources/guides/2nd-mortgage-australia,Second Mortgages (Business/Investment),2nd mortgage lenders,same-pillar,/resources/guides/2nd-mortgage-lenders,6.004,11.0,70.0
2025-09-22_2--2nd-mortgage-australia.md,/resources/guides/2nd-mortgage-australia,Second Mortgages (Business/Investment),2nd mortgage loan,same-pillar,/resources/guides/2nd-mortgage-loan,5.999,9.0,40.0
2025-09-22_2--2nd-mortgage-australia.md,/resources/guides/2nd-mortgage-australia,Second Mortgages (Business/Investment),urgent caveat loans,cross-pillar,/resources/guides/urgent-caveat-loans,2.24,0.0,140.0
2025-09-23_1--smsf-commercial-property-loan-interest-rates.md,/resources/tools/smsf-commercial-property-loan-interest-rates,Commercial Property Loans,Commercial Property Loans guide,pillar,/pillars/commercial-property-loans,999.0,,
2025-09-23_1--smsf-commercial-property-loan-interest-rates.md,/resources/tools/smsf-commercial-property-loan-interest-rates,Commercial Property Loans,loan for commercial property calculator,same-pillar,/resources/tools/loan-for-commercial-property-calculator,5.069,11.0,40.0
2025-09-23_1--smsf-commercial-property-loan-interest-rates.md,/resources/tools/smsf-commercial-property-loan-interest-rates,Commercial Property Loans,loan calculator commercial loan,same-pillar,/resources/tools/loan-calculator-commercial-loan,5.054,13.0,50.0
2025-09-23_1--smsf-commercial-property-loan-interest-rates.md,/resources/tools/smsf-commercial-property-loan-interest-rates,Commercial Property Loans,smsf loans for commercial property,same-pillar,/resources/guides/smsf-loans-for-commercial-property,5.037,16.0,70.0
2025-09-23_1--smsf-commercial-property-loan-interest-rates.md,/resources/tools/smsf-commercial-property-loan-interest-rates,Commercial Property Loans,commercial property loan interest rate,cross-pillar,/resources/tools/commercial-property-loan-interest-rate,2.802,23.0,90.0
2025-09-23_2--short-term-property-funding.md,/resources/guides/short-term-property-funding,Bridging Finance (Commercial),Bridging Finance (Commercial) guide,pillar,/pillars/bridging-finance-commercial,999.0,,
